Filename,raw reads,trimmed reads,% survived trim,mapped reads,% mapped reads
2536_BLB01ACC_r1.fq,32734875,32199711,98.36515643,19004662,59.02121917
2536_BLB02ACC_r1.fq,44548525,44235205,99.29667705,27559147,62.30138868
2536_BLB03ACC_r1.fq,36157124,35656479,98.61536277,21623034,60.64265067
2536_BLB04ACC_r1.fq,34250960,34045832,99.40110292,21099762,61.97458179
2536_BLB05ACC_r1.fq,27016057,26738571,98.9728849,16540029,61.85831322
2536_BLB06ACC_r1.fq,46850517,45433468,96.97538236,27159262,59.77809574
2536_BLB07ACC_r1.fq,15623170,15365036,98.34774889,9996965,65.06307567
2536_BLB08ACC_r1.fq,23655799,23535898,99.49314331,15064854,64.00798474
2536_BLB09ACC_r1.fq,13101162,12782594,97.56839889,7835453,61.29783204
2536_BLB10ACC_r1.fq,24961063,24655684,98.77657855,15777715,63.99220155
2536_BLB01MCC_r1.fq,27367609,26869820,98.18110161,18179071,67.6560952
2536_BLB02MCC_r1.fq,16812862,16345766,97.22179365,10647914,65.14172539
2536_BLB03MCC_r1.fq,25592711,25387628,99.19866637,15394218,60.6366928
2536_BLB04MCC_r1.fq,22428259,22213151,99.04090639,14241594,64.11334439
2536_BLB05MCC_r1.fq,22802139,22465755,98.52476998,13123962,58.41763164
2536_BLB06MCC_r1.fq,38287252,36939954,96.48107939,22753724,61.59651417
2536_BLB07MCC_r1.fq,19188179,19039160,99.22338123,12115711,63.63574338
2536_BLB08MCC_r1.fq,30158648,29892525,99.11758975,19079210,63.8260234
2536_BLB09MCC_r1.fq,21760536,21620848,99.35806728,14205323,65.70196969
2536_BLB10MCC_r1.fq,25480255,24766166,97.19748095,16102576,65.01844492
2536_BLB11MCC_r1.fq,39956649,36359217,90.99666241,23121499,63.59185073
2536_BLB01VMH_r1.fq,15535422,15269064,98.28547947,9815078,64.28080988
2536_BLB02VMH_r1.fq,22111183,21414984,96.85137154,13610566,63.55627443
2536_BLB03VMH_r1.fq,29156878,28936004,99.24246348,17973597,62.11499349
2536_BLB04VMH_r1.fq,22864386,22598492,98.83708226,14196804,62.82190865
2536_BLB05VMH_r1.fq,19973971,19524250,97.74846474,11915892,61.03124064
2536_BLB06VMH_r1.fq,42367225,36065618,85.12622198,22902933,63.50350908
2536_BLB07VMH_r1.fq,34474341,34039803,98.73953211,22026469,64.70798024
2536_BLB08VMH_r1.fq,18207338,17638909,96.87802248,11424102,64.76648868
2536_BLB09VMH_r1.fq,25989324,25835203,99.40698342,16563474,64.11203349
2536_BLB10VMH_r1.fq,11523057,11129988,96.58884791,7656092,68.78796275
2536_BLB11VMH_r1.fq,24638802,23835493,96.73965885,13711892,57.52720114